Stamp,Name,Category,Contact,Address,Town,PostCode,Email,Telephone,Website,Twitter,Facebook,Monday Opening,Monday Closing,Tuesday Opening,Tuesday Closing,Wednesday Opening,Wednesday Closing,Thursday Opening,Thursday Closing,Friday Opening,Friday Closing,Saturday Opening,Saturday Closing,Sunday Opening,Sunday Closing,Services
"51.7458037494223 -3.37771105678318|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T04:42:39-04:00",St David's foundation hospice care ,Shopping,Ross Hughes ,Unit 2a John street,Merthyr Tydfil,Cf48 0aw,,01685 388015,http://www.stdavidsfoundationhospicecare.co.uk,@,No,9am,4pm,9am,4pm,9am,4pm,9am,4pm,9am,4pm,9am,4pm,,,"Sell clothes, furniture, bric a brac, volunteer workers, money to charity "
"51.7438234874176 -3.37803108698163|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T05:09:35-04:00",The New Crown Inn,Eating and Drinking,Jorge dascencao,28 high street,Merthyr Tydfil,Cf47 8dp,jorge@newcrowninn.com,01685 387925,,@newcrowninn,Yes,10am,12am,10am,12am,10am,12am,10am,12am,10am,12am,10am,12am,10am,12am,"Entertainment, foods, shows, cocktails, shots, alcoholic beverages, soft drinks, bar snacks "
"51.7437241690115 -3.37809047417354|144 High Street, Merthyr Tydfil CF47 8DP, UK|GPS|2013-09-06T05:17:21-04:00",United dental ,Services,Sarah Davies ,147 high street,Merthyr Tydfil,Cf47 8dp,,01685 386854,,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,,,"Nhs treatment, currently taking on nhs patients, private work, cosmetic treatment "
"51.746059391083 -3.37905376883456|Wheatsheaf Lane, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T06:37:11-04:00",Ladbrokes ltd,Things To Do,,34-34a Victoria street,Merthyr Tydfil,Cf47 8bw,,,http://www.ladbrokes.com,@,Yes,8am,10pm,8am,10pm,8am,10pm,8am,10pm,8am,10pm,8am,10pm,9am,9pm,"Bets, machines, hot, cold drinks "
"51.7443518920018 -3.37810726657746|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T05:41:41-04:00",IQ Clothing,Shopping,Mohammad iqbal,137 high street,Merthyr Tydfil,Cf47 8dn,,01685 389240,,@ ,No,10am,5pm,10am,5pm,10am,5pm,9am,5pm,10am,5pm,10am,5pm,,,"Designer clothing men's and ladies, shoes, accessories "
"51.7451687666199 -3.38009543248409|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T05:54:31-04:00",Timpson ltd,Shopping,Gary Vaughan,Kiosk k2 Tydfil square,Merthyr Tydfil,Cf47 8ew,,01685 382429,http://www.timpson.com,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Key cutting, shoe repairs, engraving, watch repairs, shoe care, walking sticks, umbrellas, key rings "
"51.7458586486395 -3.37954724957477|Victoria Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T07:02:10-04:00",Stagecoach in south Wales ,Services,Meyrick jones ,6 Victoria street ,Merthyr Tydfil,Cf47 8ed,,01685 388216,http://www.stagecoachbus.com,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,,,"Customer information, local bus services, bus times "
"51.7454562170964 -3.37904017902036|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T05:47:55-04:00",Card factory ,Shopping,Tracy wheeler,3 graham way,Merthyr Tydfil,Cf47 8eg,,01685 722052,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Cards, balloons, gifts for all occasions, gift wrap, soft toys, gift boxes "
"51.7458917326365 -3.37742181658168|John Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T08:34:53-04:00",Post office,Services,,,Merthyr Tydfil,,,,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,12pm,,,"Postage of letters, parcel, first class delivery, recorded delivery, postage stamps, envelopes, passports "
"51.7454601340752 -3.37866655257809|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T07:17:20-04:00",Rayner,Services,Kath young ,12 market square ,Merthyr Tydfil,Cf47 8by,,01685 722652,http://www.raynersopticians.co.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Eye tests, contact lenses, spectacles, glasses cases"
"51.7450886768172 -3.37954577922193|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T07:41:50-04:00",Shaws,Shopping,Janice Davies ,"8 graham way, st Tydfils shopping centre",Merthyr Tydfil,Cf47 8eg,,01685 722242,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Soft furnishings, wool, curtains, nets "
"51.7459442484377 -3.37849638722271|Victoria Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T06:47:36-04:00",The co-operative travel ,Services,Jane Collins ,36 Victoria street,Merthyr Tydfil,Cf47 8bw,merthyrtydfil@co-operativetravel.co.uk,0844 879 8780,http://www.co-operativetravel.co.uk,@,No,9am,4pm,9am,4pm,10am,4pm,9am,4pm,9am,4pm,9am,4pm,,,"Holidays, short breaks, long haul, uk breaks, cruise, flights, travel insurance, foreign currency, airport hotels, car parking "
"51.7457794037897 -3.37925136544647|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T06:20:49-04:00",Bonanza amusements ,Things To Do,Mario Polledri,29 Victoria street,Merthyr Tydfil,Cf47 8bw,,01685 388389,,@,No,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,6pm,,,"Fruit machines, free drinks for users of machines "
"51.7453870539027 -3.3784961690752|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T08:25:34-04:00",Central cafe,Eating and Drinking,Hayley thomas ,125 high street,Merthyr Tydfil,Cf47 8bt,,7760666654,,@,No,8am,4pm,8am,4pm,8am,4pm,8am,5pm,8am,4pm,8am,4pm,,,"Cooked dinners, breakfasts, sandwiches, cakes, hot and cold drinks "
"51.7458279741895 -3.37876764593328|Victoria Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T08:16:45-04:00",Darlows,Services,Catherine smith ,32 Victoria street,Merthyr Tydfil,Cf47 8bw,catherine.smith@darlows.co.uk,01685 375333,http://www.darlows.co.uk,@,Yes,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,5pm,,,"Estate agents and letting agents, mortgage adviser, auction department "
"51.7457679222534 -3.37846986415939|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T08:22:14-04:00",Future interiors ,Shopping,Colin James ,61 High street ,Merthyr Tydfil,Cf47 8de,,01685 350588,,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Furniture, carpets, beds, ceramics, wall art, clocks "
"51.7451913003683 -3.37870679094326|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T07:48:39-04:00",Jaybells music ,Shopping,Chris Davis ,"Unit 17 1-7 river walk, st Tydfils shopping centre",Merthyr Tydfil,Cf47 8en,jaybellsmusic@hotmail.co.uk,01685 386911,http://www.jaybellsmusic.com,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Musical instruments, accessories, music lessons, repairs and servicing "
"51.746097845617 -3.37715445768135|John Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T08:40:46-04:00",Scala snooker club ,Eating and Drinking,Rhiannon Roberts ,John street ,Merthyr Tydfil,Cf47 0aw,scalasnookerclub@btconnect.com,01685 383070,,@,Yes,12pm,11pm,3pm,9pm,12pm,11pm,12pm,11pm,12pm,12am,11am,11pm,11am,11pm,"Snooker, pool, public bar, snacks, soft and alcoholic drinks "
"51.7450128278269 -3.37929235145706|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T07:55:58-04:00",Andrews hardware and shoe repairs ,Shopping,Liz Allan ,"Units 3,4,5 st Tydfils indoor market ",Merthyr Tydfil,Cf47 8en,,,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"General hardware, shoe repairs, key cutting "
"51.7459145338479 -3.37905952493706|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T08:09:36-04:00",Coral,Things To Do,Paul billingsley,18-19 market square ,Merthyr Tydfil,Cf47 8by,,01685 350242,http://www.coral.co.uk,@,Yes,8am,10pm,8am,10pm,8am,10pm,8am,10pm,8am,10pm,8am,10pm,9am,9pm,"Betting, fruit machines, hot and cold drinks "
"51.7453323715903 -3.38001374794273|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T07:30:20-04:00",The Works Stores,Shopping,Lyn Davies ,4 new market walk ,Merthyr Tydfil,Cf47 8el,,01685 376046,http://www.TheWorks.co.uk,@TheWorksStores,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Books, gardening, stationery, art and crafts, paperbacks, toys, confectionery, home deco, games, puzzles, cookery books "
"51.7456142272798 -3.37911692991482|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T07:19:40-04:00",Nationwide ,Services,Caroline Jackson ,3 Victoria street,Merthyr Tydfil,Cf47 8er,,0845 2660417 option 1,http://www.nationwide.co.uk,@,No,9am,5pm,9am,5pm,10am,5pm,9am,5pm,9am,5pm,9am,12pm,,,"Mortgages, current accounts, credit cards, financial advice, insurance, retirement planning "
"51.7455432596263 -3.37991739188159|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T06:00:22-04:00",Warren James,Shopping,Becky Christopher ,14 new market walk ,Merthyr Tydfil,Cf47 8el,,01685 388483,http://www.warrenjames.co.uk,@,Yes,9am,5pm,9am,5pm,,,9am,5pm,9am,5pm,9am,5pm,,,"Silver, gold, jewellery, gifts, repairs for purchases from warren James "
"51.7458149338963 -3.37904935408196|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T06:57:27-04:00",A Two ,Shopping,Richard Phillips ,2a Victoria street ,Merthyr Tydfil,Cf47 8bs ,,01685 350999,,@,Yes,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,,,"Men's designer clothing, accessories, shoes "
"51.7458063849881 -3.37869029868695|Victoria Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T06:51:37-04:00",JW Millward,Shopping,Phillip Rees,2 Victoria street,Merthyr Tydfil,Cf47 8bs,lambchoprees@googlemail.com,7951069448,,@,No,8am,1pm,8am,4pm,8am,4pm,8am,1pm,8am,4pm,8am,2pm,,,"Meats, sausages, condiments "
"51.7455418438343 -3.37758925037198|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T09:04:33-04:00",Clarks,Shopping,Robert Bates,Unit 10 beacons place ,Merthyr Tydfil,Cf47 0ae,,01685 377689,http://www.clarks.co.uk,@clarksshoes,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,11am,4pm,"Free fitting service, free home delivery, bags, children's, ladies, men's shoes, children's accessories "
"51.745837855952 -3.37975046115138|Wheatsheaf Lane, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T07:08:12-04:00",Crosswoods,Eating and Drinking,Lisa jones ,7 Victoria street,Merthyr Tydfil,Cf47 8ed,,01685 384541,,@,No,9am,4pm,9am,4pm,9am,4pm,9am,4pm,9am,4pm,9am,4pm,,,"Deli store: cooked meats, pasties, pies, tinned foods, cold drinks, cakes, bread "
"51.745803181894 -3.3790731666187|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T06:25:10-04:00",Fresh n fruity ,Shopping,Stuart Lewis ,31 Victoria street,Merthyr Tydfil,Cf47 8bw,,,,@,No,8am,5pm,8am,5pm,8am,5pm,8am,5pm,8am,5pm,8am,5pm,,,"Fresh fruit, veg, cakes, confectionary, household items, cold drinks "
"51.7459509098926 -3.37870422783594|Victoria Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T06:40:19-04:00",Forum coffee lounge ,Eating and Drinking,Heidi griffiths ,35 Victoria street ,Merthyr Tydfil,Cf47 8bw,,01685 371586,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Baguettes, toasties, sandwiches, hot and cold drinks, baked potatoes, home made cakes "
"51.7458820910102 -3.37963325128909|Victoria Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T06:12:04-04:00",Lunchbox cafe ,Eating and Drinking,Linda kizilboga,27 Victoria street,Merthyr Tydfil,Cf47 8bw,,01685 379991,,@,No,8am,4pm,8am,4pm,8am,4pm,8am,4pm,8am,4pm,8am,4pm,,,"Dinners, breakfasts, hot drinks, snacks, cold drinks "
"51.7457331120859 -3.37938494624591|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T06:16:14-04:00",Lunchbox bakery,Eating and Drinking,Dean thomas ,27 victoria street,Merthyr Tydfil,Cf47 8bw,,01685 376945,,@,No,8am,4pm,8am,4pm,8am,4pm,8am,4pm,8am,4pm,8am,4pm,,,"Cakes, pasties, filled rolls, chips, jacket potatoes, cold drinks, hot drinks "
"51.74528123286 -3.37996248286416|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T07:33:14-04:00",Argos ,Shopping,Huw Evans ,8 river walk ,Merthyr Tydfil,Cf47 8en,,0845 1657358,http://www.argos.co.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Jewellery, technology, laptops, tvs, household, furniture, toys, electricals, gift cards for other stores, children's clothing "
"51.7446123381849 -3.37834758875515|Service Yard D, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T05:37:27-04:00",Shuzz,Shopping,Shuzz ,39 high street,Merthyr Tydfil,Cf47 8de,,01685 386351,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Ladies, mens, childrens shoes, shoe accessories, handbags "
"51.7455372537168 -3.38032313702577|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-05T06:04:48-04:00",Savers,Shopping,Christine kennedy,Unit 1 new market walk,Merthyr Tydfil,Cf47 8el,,01685 383213,http://www.savers.co.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Health, home, beauty, cleaning, toiletries "
"51.7457980386453 -3.37935326677515|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T09:35:56-04:00",Pet and garden centre ,Shopping,Chris jones,30 Victoria street,Merthyr Tydfil,Cf47 8bw,,01685 386376,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Pets, pet food, pet homes, tropical and cold water fish"
"51.7460991258836 -3.37936262741892|Wheatsheaf Lane, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T09:05:22-04:00",Cafe express ,Eating and Drinking,Dean thomas ,5 Victoria street,Merthyr Tydfil,Cf47 8ed,,,,@,No,8am,4pm,8am,5pm,8am,5pm,8am,5pm,8am,5pm,8am,5pm,,,"Hot, cold foods, snacks, cold drinks, cafe"
"51.7452100435191 -3.3789430929556|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T08:17:36-04:00",Vodafone ,Shopping,Karen jones,3 graham way,Merthyr Tydfil,Cf47 8eg,karen.jones@vodafone.com,7717764442,http://www.vodafone.co.uk,@Vodafoneuk,Yes,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,9am,5pm,,,"Mobile phones, data services, 4g, 3G tariffs, repairs for Vodafone, phone accessories, tablets "
"51.745114550363 -3.37775729148762|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T09:47:20-04:00",Internacionale uk,Shopping,,Unit 9 beacons place,Merthyr Tydfil,Cf47 0ae,,01685 387904,http://www.internacionale.co.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Ladies, children's clothing, accessories, shoes, handbags "
